prctseq,display_code,code4,polling_location,mentioned_codes,pdf_url,pdf_filename,override_targets,override_vtd20s,override_vtd_names,override_weights,override_source,override_confidence,status
0091,08-12,0812,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0812.pdf,PrecinctPollingLoc_0812.pdf,1,008141,Memphis 46-2,1.0,shelby_geometry_review,boundary_split,resolved
0092,09-01,0901,The Oak Grove MB Church,0906;0812;0903;0902;0901;0909;0808;0904;0803;0910;0805;0809;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0901.pdf,PrecinctPollingLoc_0901.pdf,0,,,,,,needs_review
0093,09-02,0902,Mitchell Road Community Ctr,1002;0903;0902;0901;0904;0905;1009;1006;0812;1003;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0902.pdf,PrecinctPollingLoc_0902.pdf,0,,,,,,needs_review
0094,09-03,0903,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0903.pdf,PrecinctPollingLoc_0903.pdf,1,008180,Memphis 68-3,1.0,shelby_geometry_review,core_tn08,resolved
0095,09-04,0904,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0904.pdf,PrecinctPollingLoc_0904.pdf,1,008234,Memphis 88-4,1.0,shelby_geometry_review,sliver_only,resolved
0096,09-05,0905,Christ United Baptist Church,1009;0905;0907;0910;0908;0911;0904;0902;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0905.pdf,PrecinctPollingLoc_0905.pdf,0,,,,,,needs_review
0097,09-06,0906,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0906.pdf,PrecinctPollingLoc_0906.pdf,1,008149,Memphis 53-1,1.0,shelby_geometry_review,boundary_split,resolved
0098,09-07,0907,Whitehaven Community Ctr,0908;0905;0907;0910;0911;1009;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0907.pdf,PrecinctPollingLoc_0907.pdf,0,,,,,,needs_review
0099,09-08,0908,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0908.pdf,PrecinctPollingLoc_0908.pdf,1,008152,Memphis 54,1.0,shelby_geometry_review,core_tn08,resolved
0100,09-09,0909,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0909.pdf,PrecinctPollingLoc_0909.pdf,1,008172,Memphis 62-0,1.0,shelby_geometry_review,sliver_only,resolved
0101,09-10,0910,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0910.pdf,PrecinctPollingLoc_0910.pdf,1,008174,Memphis 64,1.0,shelby_geometry_review,core_tn08,resolved
0102,09-11,0911,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0911.pdf,PrecinctPollingLoc_0911.pdf,1,008176,Memphis 66,1.0,shelby_geometry_review,core_tn08,resolved
0103,10-01,1001,Orange Mound Senior Ctr,1308;1007;1001;1004;1309;1003;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1001.pdf,PrecinctPollingLoc_1001.pdf,0,,,,,,needs_review
0104,10-02,1002,Pine Hill Community Ctr,1002;1006;0901;0902;1009;0812;0808;0809;0811;1003;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1002.pdf,PrecinctPollingLoc_1002.pdf,0,,,,,,needs_review
0105,10-03,1003,Glenview Community Ctr,1002;1003;1007;0810;1001;1307;1308;1006;1004;0811;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1003.pdf,PrecinctPollingLoc_1003.pdf,0,,,,,,needs_review
0106,10-04,1004,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1004.pdf,PrecinctPollingLoc_1004.pdf,1,008177,Memphis 67-1,1.0,shelby_geometry_review,core_tn08,resolved
0107,10-05,1005,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1005.pdf,PrecinctPollingLoc_1005.pdf,1,008179,Memphis 68-1,1.0,shelby_geometry_review,core_tn08,resolved
0108,10-06,1006,Norris Avenue Baptist Church,1006;1009;1002;1010;1007;1003;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1006.pdf,PrecinctPollingLoc_1006.pdf,0,,,,,,needs_review
0109,10-07,1007,Orange Mound Senior Ctr,1007;1004;1001;1009;1006;1008;1010;1003;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1007.pdf,PrecinctPollingLoc_1007.pdf,0,,,,,,needs_review
0110,10-08,1008,Greenwood CME Church,1008;1004;1005;1010;1007;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1008.pdf,PrecinctPollingLoc_1008.pdf,0,,,,,,needs_review
0111,10-09,1009,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1009.pdf,PrecinctPollingLoc_1009.pdf,1,008192,Memphis 73-3,1.0,shelby_geometry_review,sliver_only,resolved
