precinct_key,county_norm,prec_id,district_num,dominant_weight,total_weight,split_count,is_split
CARTER - 000915,CARTER,000915,3,0.7630138951,0.9995784882,2,1
CARTER - 000916,CARTER,000916,3,0.9997189439,1.0,2,1
CARTER - 000917,CARTER,000917,4,0.9997544656,1.0,2,1
CARTER - 000918,CARTER,000918,4,0.7745860164,0.9997494798,2,1
CARTER - 000919,CARTER,000919,4,0.9994445424,1.0,2,1
CARTER - 000920,CARTER,000920,4,0.9995125996,1.0,3,1
CARTER - 000921,CARTER,000921,4,0.9989403854,1.0,2,1
CARTER - 000922,CARTER,000922,4,1.0,1.0,1,0
CHEATHAM - 001001,CHEATHAM,001001,78,0.9994614186,1.0,3,1
CHEATHAM - 001002,CHEATHAM,001002,78,0.9997099427,1.0,2,1
CHEATHAM - 001003,CHEATHAM,001003,78,0.9998353551,1.0,3,1
CHEATHAM - 001004,CHEATHAM,001004,78,0.9999412275,1.0,2,1
CHEATHAM - 001005,CHEATHAM,001005,78,1.0,1.0,1,0
CHEATHAM - 001006,CHEATHAM,001006,78,0.9999474239,1.0,2,1
CHEATHAM - 001007,CHEATHAM,001007,78,0.999852301,1.0,3,1
CHEATHAM - 001008,CHEATHAM,001008,78,1.0,1.0,1,0
CHESTER - 001101,CHESTER,001101,72,0.9996446699,1.0,3,1
CHESTER - 001102,CHESTER,001102,72,0.9999674678,1.0,2,1
CHESTER - 001103,CHESTER,001103,72,0.9999229093,1.0,3,1
CHESTER - 001104,CHESTER,001104,72,0.9997621026,1.0,2,1
CHESTER - 001105,CHESTER,001105,72,0.9998846123,1.0,2,1
CHESTER - 001106,CHESTER,001106,72,1.0,1.0,1,0
CHESTER - 001107,CHESTER,001107,72,0.9999746876,1.0,2,1
CHESTER - 001108,CHESTER,001108,72,0.9999272567,1.0,2,1
CHESTER - 001109,CHESTER,001109,72,0.9997567007,1.0,2,1
CHESTER - 001110,CHESTER,001110,72,0.9998019645,1.0,3,1
CHESTER - 001111,CHESTER,001111,72,0.9998677649,1.0,3,1
CLAIBORNE - 001201,CLAIBORNE,001201,9,0.9985867122,1.0,2,1
CLAIBORNE - 001202,CLAIBORNE,001202,36,0.9998922216,0.9999757894,2,1
CLAIBORNE - 001203,CLAIBORNE,001203,9,0.9999649899,0.9999649899,1,0
CLAIBORNE - 001204,CLAIBORNE,001204,9,0.9995129125,0.9999791448,2,1
CLAIBORNE - 001205,CLAIBORNE,001205,36,1.0,1.0,1,0
CLAIBORNE - 001206,CLAIBORNE,001206,36,0.9984638223,1.0,2,1
CLAIBORNE - 001207,CLAIBORNE,001207,9,0.9985158243,1.0,3,1
CLAIBORNE - 001208,CLAIBORNE,001208,36,0.9994257049,1.0,2,1
CLAIBORNE - 001209,CLAIBORNE,001209,9,0.9981240467,0.9988760368,2,1
CLAIBORNE - 001210,CLAIBORNE,001210,9,0.999132249,1.0,2,1
CLAIBORNE - 001211,CLAIBORNE,001211,36,0.9995343633,1.0,2,1
CLAIBORNE - 001212,CLAIBORNE,001212,9,1.0,1.0,1,0
CLAIBORNE - 001213,CLAIBORNE,001213,36,0.9989225893,1.0,2,1
CLAIBORNE - 001214,CLAIBORNE,001214,9,1.0,1.0,1,0
CLAIBORNE - 001215,CLAIBORNE,001215,9,0.9995454517,1.0,2,1
CLAIBORNE - 001216,CLAIBORNE,001216,9,1.0,1.0,1,0
CLAIBORNE - 001217,CLAIBORNE,001217,36,1.0,1.0,1,0
CLAY - 001301,CLAY,001301,38,0.999905355,1.0,2,1
CLAY - 001302,CLAY,001302,38,0.9999972595,0.9999993911,2,1
CLAY - 001303,CLAY,001303,38,0.9999529792,0.9999636847,2,1
CLAY - 001304,CLAY,001304,38,0.9999377193,0.9999377193,1,0
CLAY - 001305,CLAY,001305,38,1.0,1.0,1,0
CLAY - 001306,CLAY,001306,38,0.9996416884,1.0,3,1
CLAY - 001307,CLAY,001307,38,0.9998926983,0.9999848216,2,1
COCKE - 001401,COCKE,001401,11,0.999973984,1.0,2,1
COCKE - 001402,COCKE,001402,11,1.0,1.0,1,0
COCKE - 001403,COCKE,001403,11,0.9998730111,1.0,2,1
COCKE - 001404,COCKE,001404,11,0.9994711276,0.9994711276,1,0
COCKE - 001405,COCKE,001405,11,0.9992032867,0.9995389552,3,1
COCKE - 001406,COCKE,001406,11,1.0,1.0,1,0
COCKE - 001407,COCKE,001407,11,1.0,1.0,1,0
COCKE - 001408,COCKE,001408,11,0.9997479009,0.9997479009,1,0
COCKE - 001409,COCKE,001409,11,1.0,1.0,1,0
COCKE - 001410,COCKE,001410,11,0.9995841739,1.0,2,1
COCKE - 001411,COCKE,001411,11,1.0,1.0,1,0
COCKE - 001412,COCKE,001412,11,1.0,1.0,1,0
COCKE - 001413,COCKE,001413,11,1.0,1.0,1,0
COCKE - 001414,COCKE,001414,11,0.9999657972,1.0,2,1
COCKE - 001415,COCKE,001415,11,1.0,1.0,1,0
COCKE - 001416,COCKE,001416,11,1.0,1.0,1,0
COCKE - 001417,COCKE,001417,11,1.0,1.0,1,0
COCKE - 001418,COCKE,001418,11,0.9997352043,0.9997851009,2,1
COCKE - 001419,COCKE,001419,11,0.9998831874,1.0,2,1
COFFEE - 001501,COFFEE,001501,47,1.0,1.0,1,0
COFFEE - 001502,COFFEE,001502,47,1.0,1.0,1,0
COFFEE - 001503,COFFEE,001503,47,1.0,1.0,1,0
COFFEE - 001504,COFFEE,001504,47,1.0,1.0,1,0
COFFEE - 001505,COFFEE,001505,47,0.9996488193,1.0,2,1
COFFEE - 001506,COFFEE,001506,47,0.9999999571,1.0,2,1
COFFEE - 001507,COFFEE,001507,47,0.9999729278,1.0,2,1
COFFEE - 001508,COFFEE,001508,47,1.0,1.0,1,0
COFFEE - 001509,COFFEE,001509,47,0.9996137464,1.0,4,1
COFFEE - 001510,COFFEE,001510,47,1.0,1.0,1,0
COFFEE - 001511,COFFEE,001511,47,0.9999125739,1.0,2,1
COFFEE - 001512,COFFEE,001512,47,0.999990144,1.0,2,1
COFFEE - 001513,COFFEE,001513,47,0.9996882737,1.0,2,1
COFFEE - 001514,COFFEE,001514,47,0.9999970127,1.0,2,1
COFFEE - 001515,COFFEE,001515,47,1.0,1.0,1,0
COFFEE - 001516,COFFEE,001516,47,1.0,1.0,1,0
COFFEE - 001517,COFFEE,001517,47,1.0,1.0,1,0
COFFEE - 001518,COFFEE,001518,47,0.9997965042,1.0,2,1
COFFEE - 001519,COFFEE,001519,47,0.998816642,1.0,2,1
COFFEE - 001520,COFFEE,001520,47,0.9986133358,1.0,3,1
COFFEE - 001521,COFFEE,001521,47,0.9994340893,1.0,2,1
COFFEE - 001522,COFFEE,001522,47,0.9996828473,1.0,3,1
COFFEE - 001523,COFFEE,001523,47,0.9998067292,1.0,2,1
CROCKETT - 001601,CROCKETT,001601,82,1.0,1.0,1,0
CROCKETT - 001602,CROCKETT,001602,82,0.9999065263,1.0,2,1
CROCKETT - 001603,CROCKETT,001603,82,0.9994141352,1.0,3,1
CROCKETT - 001604,CROCKETT,001604,82,0.999454384,1.0,2,1
CROCKETT - 001605,CROCKETT,001605,82,0.9966483293,1.0,2,1
CROCKETT - 001606,CROCKETT,001606,82,0.9988842076,1.0,3,1
CROCKETT - 001607,CROCKETT,001607,82,0.9996519565,1.0,2,1
CROCKETT - 001608,CROCKETT,001608,82,1.0,1.0,1,0
CROCKETT - 001609,CROCKETT,001609,82,0.9996100075,1.0,2,1
CROCKETT - 001610,CROCKETT,001610,82,1.0,1.0,1,0
CROCKETT - 001611,CROCKETT,001611,82,1.0,1.0,1,0
CROCKETT - 001612,CROCKETT,001612,82,1.0,1.0,1,0
CUMBERLAND - 001701,CUMBERLAND,001701,25,1.0,1.0,1,0
CUMBERLAND - 001702,CUMBERLAND,001702,25,0.999995428,1.0,2,1
CUMBERLAND - 001703,CUMBERLAND,001703,25,1.0,1.0,1,0
CUMBERLAND - 001704,CUMBERLAND,001704,25,1.0,1.0,1,0
CUMBERLAND - 001705,CUMBERLAND,001705,25,1.0,1.0,1,0
CUMBERLAND - 001706,CUMBERLAND,001706,25,0.999913292,1.0,2,1
CUMBERLAND - 001707,CUMBERLAND,001707,25,1.0,1.0,1,0
CUMBERLAND - 001708,CUMBERLAND,001708,25,1.0,1.0,1,0
CUMBERLAND - 001709,CUMBERLAND,001709,25,1.0,1.0,1,0
CUMBERLAND - 001710,CUMBERLAND,001710,25,0.9999441694,1.0,2,1
CUMBERLAND - 001711,CUMBERLAND,001711,25,1.0,1.0,1,0
CUMBERLAND - 001712,CUMBERLAND,001712,25,1.0,1.0,1,0
CUMBERLAND - 001713,CUMBERLAND,001713,25,0.9999915822,1.0,2,1
CUMBERLAND - 001714,CUMBERLAND,001714,25,1.0,1.0,1,0
CUMBERLAND - 001715,CUMBERLAND,001715,25,0.9998120238,1.0,3,1
CUMBERLAND - 001716,CUMBERLAND,001716,25,0.9998192062,1.0,2,1
CUMBERLAND - 001717,CUMBERLAND,001717,25,0.9995506347,1.0,3,1
CUMBERLAND - 001718,CUMBERLAND,001718,25,0.9999030651,1.0,2,1
CUMBERLAND - 001719,CUMBERLAND,001719,25,1.0,1.0,1,0
CUMBERLAND - 001720,CUMBERLAND,001720,25,0.9974076273,1.0,2,1
CUMBERLAND - 001721,CUMBERLAND,001721,25,1.0,1.0,1,0
CUMBERLAND - 001722,CUMBERLAND,001722,25,1.0,1.0,1,0
CUMBERLAND - 001723,CUMBERLAND,001723,25,0.9999319642,1.0,2,1
CUMBERLAND - 001724,CUMBERLAND,001724,25,0.9998954135,1.0,2,1
DAVIDSON - 001801,DAVIDSON,001801,50,0.9990467865,1.0,4,1
DAVIDSON - 001802,DAVIDSON,001802,50,0.999474133,1.0,3,1
DAVIDSON - 001803,DAVIDSON,001803,54,0.8194775666,1.0,2,1
DAVIDSON - 001804,DAVIDSON,001804,50,0.9992271933,1.0,3,1
DAVIDSON - 001805,DAVIDSON,001805,54,0.669831991,1.0,3,1
DAVIDSON - 001806,DAVIDSON,001806,54,0.6745524331,1.0,2,1
DAVIDSON - 001807,DAVIDSON,001807,54,0.9989904478,1.0,2,1
DAVIDSON - 001808,DAVIDSON,001808,58,0.9995734334,1.0,2,1
DAVIDSON - 001809,DAVIDSON,001809,58,0.867140517,1.0,2,1
DAVIDSON - 001810,DAVIDSON,001810,54,0.7182278579,1.0,2,1
DAVIDSON - 001811,DAVIDSON,001811,50,0.999064638,1.0,3,1
DAVIDSON - 001812,DAVIDSON,001812,50,0.9932166084,1.0,2,1
DAVIDSON - 001813,DAVIDSON,001813,54,0.9982330036,1.0,2,1
DAVIDSON - 001814,DAVIDSON,001814,54,0.9991952226,1.0,2,1
DAVIDSON - 001815,DAVIDSON,001815,54,1.0,1.0,1,0
DAVIDSON - 001816,DAVIDSON,001816,54,0.5277818245,1.0,2,1
DAVIDSON - 001817,DAVIDSON,001817,59,0.9983115364,1.0,3,1
DAVIDSON - 001818,DAVIDSON,001818,53,0.9957897723,1.0,2,1
DAVIDSON - 001819,DAVIDSON,001819,59,0.999890596,1.0,2,1
DAVIDSON - 001820,DAVIDSON,001820,59,0.9981552836,1.0,3,1
DAVIDSON - 001821,DAVIDSON,001821,58,0.9997754867,1.0,2,1
DAVIDSON - 001822,DAVIDSON,001822,58,0.9992013686,1.0,2,1
DAVIDSON - 001823,DAVIDSON,001823,54,0.9010433221,1.0,2,1
DAVIDSON - 001824,DAVIDSON,001824,58,0.509118177,1.0,2,1
DAVIDSON - 001825,DAVIDSON,001825,58,0.8320208806,1.0,3,1
DAVIDSON - 001826,DAVIDSON,001826,51,0.6626709661,1.0,3,1
DAVIDSON - 001827,DAVIDSON,001827,52,0.6893043042,1.0,2,1
DAVIDSON - 001828,DAVIDSON,001828,51,0.7607117805,1.0,3,1
DAVIDSON - 001829,DAVIDSON,001829,51,0.9999867173,1.0,2,1
DAVIDSON - 001830,DAVIDSON,001830,51,0.9527697296,1.0,3,1
DAVIDSON - 001831,DAVIDSON,001831,51,0.9999982457,1.0,2,1
DAVIDSON - 001832,DAVIDSON,001832,51,1.0,1.0,1,0
DAVIDSON - 001833,DAVIDSON,001833,54,0.7452473807,1.0,2,1
DAVIDSON - 001834,DAVIDSON,001834,51,0.9999868182,1.0,2,1
DAVIDSON - 001835,DAVIDSON,001835,51,1.0,1.0,1,0
DAVIDSON - 001836,DAVIDSON,001836,51,1.0,1.0,1,0
DAVIDSON - 001837,DAVIDSON,001837,54,0.9341870356,1.0,3,1
DAVIDSON - 001838,DAVIDSON,001838,54,0.8232853717,1.0,2,1
DAVIDSON - 001839,DAVIDSON,001839,51,0.7659356615,1.0,2,1
DAVIDSON - 001840,DAVIDSON,001840,54,0.9997001976,1.0,2,1
DAVIDSON - 001841,DAVIDSON,001841,54,0.5310079661,1.0,4,1
DAVIDSON - 001842,DAVIDSON,001842,51,0.7071795027,1.0,2,1
DAVIDSON - 001843,DAVIDSON,001843,51,0.7647414662,1.0,3,1
DAVIDSON - 001844,DAVIDSON,001844,50,0.9983198295,1.0,3,1
DAVIDSON - 001845,DAVIDSON,001845,50,0.9999270908,1.0,2,1
DAVIDSON - 001846,DAVIDSON,001846,50,0.9997331727,1.0,2,1
DAVIDSON - 001847,DAVIDSON,001847,50,0.6295936953,1.0,2,1
DAVIDSON - 001848,DAVIDSON,001848,54,1.0,1.0,1,0
DAVIDSON - 001849,DAVIDSON,001849,50,0.8029324069,1.0,4,1
DAVIDSON - 001850,DAVIDSON,001850,60,0.9879751514,1.0,5,1
DAVIDSON - 001851,DAVIDSON,001851,60,0.9927929207,1.0,3,1
DAVIDSON - 001852,DAVIDSON,001852,60,0.9980240538,1.0,2,1
DAVIDSON - 001853,DAVIDSON,001853,60,0.9998614789,1.0,2,1
DAVIDSON - 001854,DAVIDSON,001854,60,1.0,1.0,1,0
DAVIDSON - 001855,DAVIDSON,001855,60,0.9993421615,1.0,3,1
DAVIDSON - 001856,DAVIDSON,001856,60,1.0,1.0,1,0
DAVIDSON - 001857,DAVIDSON,001857,60,0.9999965097,1.0,2,1
DAVIDSON - 001858,DAVIDSON,001858,60,0.9999988484,1.0,2,1
DAVIDSON - 001859,DAVIDSON,001859,52,0.999706546,1.0,3,1
DAVIDSON - 001860,DAVIDSON,001860,52,0.7819266811,1.0,2,1
DAVIDSON - 001861,DAVIDSON,001861,52,0.7996947779,1.0,2,1
DAVIDSON - 001862,DAVIDSON,001862,60,1.0,1.0,1,0
DAVIDSON - 001863,DAVIDSON,001863,60,1.0,1.0,1,0
DAVIDSON - 001864,DAVIDSON,001864,60,0.9992377789,1.0,2,1
DAVIDSON - 001865,DAVIDSON,001865,60,0.9981007065,1.0,2,1
DAVIDSON - 001866,DAVIDSON,001866,60,1.0,1.0,1,0
DAVIDSON - 001867,DAVIDSON,001867,60,0.9999141261,1.0,2,1
DAVIDSON - 001868,DAVIDSON,001868,51,0.9995952507,1.0,2,1
DAVIDSON - 001869,DAVIDSON,001869,51,0.9997266745,1.0,2,1
DAVIDSON - 001870,DAVIDSON,001870,60,0.9552007503,1.0,3,1
DAVIDSON - 001871,DAVIDSON,001871,51,0.6618959212,1.0,3,1
